identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;localite;pays;latitude;longitude;precision_du_geocodage;numero_de_telephone;identifiant_du_site;site_acores_de_rattachement;code_insee;latlong;dep
OLLAINVILLE AP;Agence postale communale;4 RUE DE LA MAIRIE;MAISON DES INSTITUTIONS;;91340;OLLAINVILLE;FRANCE;48.591296;2.216248;Géocodé au numéro;3631;70532A;16909A;91461;48.591296, 2.216248;91
DAMMARIE LES LYS;Bureau de Poste;447 RUE DU BAS MOULIN;;;77190;DAMMARIE LES LYS;FRANCE;48.517296;2.63391;Géocodé au numéro;3631;14701A;;77152;48.517296, 2.63391;77
PUISEUX EN FRANCE AP;Agence postale communale;PLACE JEAN MOULIN;MAIRIE DE PUISEUX EN FRANCE;;95380;PUISEUX EN FRANCE;FRANCE;49.0573;2.501106;Géocodé au numéro;3631;17408A;17454A;95509;49.0573, 2.501106;95
DRANCY APU AVENIR RP;Relais poste commerçant;60 RUE SAINT STENAY;CENTRE COMMERCIAL AVENIR;;93700;DRANCY;FRANCE;48.919381;2.421569;Géocodé au numéro;3631;17260A;17190A;93029;48.919381, 2.421569;93
NOGENT LECLERC BP;Bureau de Poste;6 GRANDE RUE CHARLES DE GAULLE;;;94130;NOGENT SUR MARNE;FRANCE;48.835296;2.474427;Géocodé au numéro;3631;17388A;;94052;48.835296, 2.474427;94
ROSNY SOUS BOIS PERRIER BP;Bureau de Poste;37 RUE PHILIBERT HOFFMANN;;;93110;ROSNY SOUS BOIS;FRANCE;48.8812;2.485899;Géocodé au numéro;3631;17254A;;93064;48.8812, 2.485899;93
SAINT OUEN GLARNER BP;Bureau de Poste;26 AVENUE DU CAPITAINE GLARNER;;;93400;ST OUEN;FRANCE;48.905298;2.327867;Géocodé au numéro;3631;17266A;;93070;48.905298, 2.327867;93
SAINT DENIS BARBUSSE DIEZ;Bureau de Poste;2 RUE HENRI BARBUSSE;;;93200;ST DENIS;FRANCE;48.937592;2.372087;Géocodé au numéro;3631;17277A;;93066;48.937592, 2.372087;93
VILLETANEUSE BP;Bureau de Poste;7 RUE DU 19 MARS 1962;;;93430;VILLETANEUSE;FRANCE;48.962194;2.343402;Géocodé au numéro;3631;17221A;;93079;48.962194, 2.343402;93
VILLEPINTE;Bureau de Poste;183 BOULEVARD ROBERT BALLANGER;;;93420;VILLEPINTE;FRANCE;48.956197;2.540742;Géocodé au numéro;3631;17220A;;93078;48.956197, 2.540742;93
BOUFFEMONT BP;Bureau de Poste;13 RUE FERDINAND DE LESSEPS;;;95570;BOUFFEMONT;FRANCE;49.045083;2.319955;Géocodé au numéro;3631;17432A;;95091;49.045083, 2.319955;95
CERGY LES BORDS D OISE BP;Bureau de Poste;37 RUE NATIONALE;;;95000;CERGY;FRANCE;49.03635;2.061974;Géocodé au numéro;3631;17439A;;95127;49.03635, 2.061974;95
AUBERGENVILLE AGENCE POSTALE AP;Agence postale communale;4 BOULEVARD DE LA REPUBLIQUE;;;78410;AUBERGENVILLE;FRANCE;48.9729;1.8466;Géocodé au numéro;3631;11477D;14899A;78029;48.9729, 1.8466;78
ATHIS NOYER RENARD SNC MAJEC RP;Relais poste commerçant;1 RUE DES FROIDES BOUILLIES;;;91200;ATHIS MONS;FRANCE;48.705;2.3631;Géocodé au numéro;3631;11668D;16910A;91027;48.705, 2.3631;91
ECHOUBOULAINS AP;Agence postale communale;MAIRIE;;;77830;ECHOUBOULAINS;FRANCE;48.463294;2.945447;Géocodé au centre de la commune;3631;14707A;14842A;77164;48.463294, 2.945447;77
ST SIMEON APC AP;Agence postale communale;PLACE DE LA MAIRIE;;;77169;ST SIMEON;FRANCE;48.7987;3.2015;Géocodé au numéro;3631;11486D;14692A;77436;48.7987, 3.2015;77
BULLION AP;Agence postale communale;149 RUE DE GUETTE;;;78830;BULLION;FRANCE;48.621999;1.996728;Géocodé au numéro;3631;14920A;15006A;78120;48.621999, 1.996728;78
DAMMARTIN EN GOELE;Bureau de Poste;2 AVENUE DU MARECHAL LECLERC;;;77230;DAMMARTIN EN GOELE;FRANCE;49.053362;2.686187;Géocodé au numéro;3631;14702A;;77153;49.053362, 2.686187;77
SAINT THIBAULT DES VIGNES BP;Bureau de Poste;1 RUE DE TORCY;;;77400;ST THIBAULT DES VIGNES;FRANCE;48.868672;2.687177;Géocodé au numéro;3631;14817A;;77438;48.868672, 2.687177;77
VALENCE EN BRIE BP;Bureau de Poste;PLACE DE L EGLISE;;;77830;VALENCE EN BRIE;FRANCE;48.444368;2.890809;Géocodé au numéro;3631;14837A;;77480;48.444368, 2.890809;77
MELUN BP;Bureau de Poste;24 RUE COLONEL PICOT;;;77000;MELUN;FRANCE;48.549592;2.655988;Géocodé au numéro;3631;14874A;;77288;48.549592, 2.655988;77
PARIS RPU SAUSSURE RP;Relais poste commerçant;134 RUE DE SAUSSURE;;;75017;PARIS;FRANCE;;;Géocodé au centre de la commune;3631;11600D;14329A;75117;;75
LE CHATELET EN BRIE BP;Bureau de Poste;20 RUE DU 26 AOUT 1944;;;77820;LE CHATELET EN BRIE;FRANCE;48.505063;2.791543;Géocodé au numéro;3631;14673A;;77100;48.505063, 2.791543;77
PARIS CHATELET;Bureau de Poste;27 RUE LAVANDIERES STE OPPORTUNE;;;75001;PARIS;FRANCE;48.85941;2.346755;Géocodé au numéro;3631;14341A;;75101;48.85941, 2.346755;75
CHAMPS SUR MARNE BP;Bureau de Poste;RUE DE CHELLES;;;77420;CHAMPS SUR MARNE;FRANCE;48.853794;2.597419;Géocodé au numéro;3631;14666A;;77083;48.853794, 2.597419;77
PARIS GUY MOQUET;Bureau de Poste;57 AVENUE DE SAINT OUEN;;;75017;PARIS;FRANCE;48.891394;2.326888;Géocodé au numéro;3631;14287A;;75117;48.891394, 2.326888;75
PARIS JEANNE D'ARC;Bureau de Poste;38 PLACE JEANNE D ARC;;;75013;PARIS;FRANCE;48.830508;2.368065;Géocodé au numéro;3631;14289A;;75113;48.830508, 2.368065;75
PARIS PALAIS ROYAL BP;Bureau de Poste;8 RUE MOLIERE;;;75001;PARIS;FRANCE;48.864595;2.335516;Géocodé au numéro;3631;14276A;;75101;48.864595, 2.335516;75
PARIS PICPUS;Bureau de Poste;65 RUE DU RENDEZ VOUS;;;75012;PARIS;FRANCE;48.846593;2.400826;Géocodé au numéro;3631;14299A;;75112;48.846593, 2.400826;75
